,state,2017_SAT,2018_SAT,2019_SAT,2017_ACT,2018_ACT,2019_ACT,SAT_change_pct,ACT_change_pct,Abb,population_estimates,under_18_pct,white_pct,black_pct,american_pct,asian_pct,owner-occupied_housing_rate,persons_per_household,living_in_same_house_1y+,households_with_computer,households_with_internet,bachelor_or_higer_pct,travel_time_to_work,household_income,poverty_pct,employment_change_pct,population_persqmile
39,Rhode Island,0.71,0.97,1.0,0.21,0.15,0.12,40.845070422535215,-42.857142857142854,RI,1059361.0,19.3,83.6,8.5,1.1,3.7,60.8,2.47,87.4,89.1,84.0,34.2,25.2,67167.0,10.8,1.5,1018.1
40,South Carolina,0.5,0.55,0.68,1.0,1.0,0.78,36.00000000000001,-21.999999999999996,SC,5148714.0,21.6,68.6,27.0,0.5,1.8,69.4,2.54,85.7,88.3,78.2,28.1,25.0,53199.0,13.8,2.0,153.9
41,South Dakota,0.03,0.03,0.03,0.8,0.77,0.75,0.0,-6.250000000000005,SD,884659.0,24.5,84.6,2.3,9.0,1.5,67.8,2.43,84.2,88.5,80.7,28.8,17.2,58275.0,11.9,0.0,10.7
42,Tennessee,0.05,0.06,0.07,1.0,1.0,1.0,40.00000000000001,0.0,TN,6829174.0,22.1,78.4,17.1,0.5,2.0,66.3,2.52,85.5,87.1,78.4,27.3,25.2,53320.0,13.9,1.3,153.9
43,Texas,0.62,0.66,0.68,0.45,0.45,0.39,9.677419354838717,-13.333333333333334,TX,28995881.0,25.5,78.7,12.9,1.0,5.2,62.0,2.85,84.4,91.0,81.9,29.9,26.6,61874.0,13.6,2.0,96.3
44,Utah,0.03,0.04,0.04,1.0,1.0,1.0,33.33333333333334,0.0,UT,3205958.0,29.0,90.6,1.5,1.6,2.7,70.2,3.12,83.1,95.3,87.5,34.0,21.9,71621.0,8.9,4.3,33.6
45,Vermont,0.6,0.64,0.66,0.29,0.24,0.2,10.000000000000009,-31.03448275862068,VT,623989.0,18.3,94.2,1.4,0.4,1.9,70.8,2.3,86.7,89.9,81.5,38.0,23.3,61973.0,10.2,0.9,67.9
46,Virginia,0.65,0.68,0.68,0.29,0.24,0.21,4.615384615384619,-27.586206896551722,VA,8535519.0,21.8,69.4,19.9,0.5,6.9,66.3,2.61,84.7,91.1,83.9,38.8,28.7,74222.0,9.9,2.3,202.6
47,Washington,0.64,0.69,0.7,0.29,0.24,0.24,9.374999999999991,-17.241379310344826,WA,7614893.0,21.8,78.5,4.4,1.9,9.6,63.0,2.55,82.3,93.8,88.3,36.0,28.0,73775.0,9.8,2.8,101.2
48,West Virginia,0.14,0.28,0.99,0.69,0.65,0.49,607.142857142857,-28.985507246376805,WV,1792147.0,20.1,93.5,3.6,0.3,0.8,73.2,2.42,88.3,84.2,76.0,20.6,25.9,46711.0,16.0,0.9,77.1
49,Wisconsin,0.03,0.03,0.03,1.0,1.0,1.0,0.0,0.0,WI,5822434.0,21.8,87.0,6.7,1.2,3.0,67.0,2.39,86.0,89.4,82.5,30.1,22.2,61747.0,10.4,1.6,105.0
50,Wyoming,0.03,0.03,0.03,1.0,1.0,1.0,0.0,0.0,WY,578759.0,23.1,92.5,1.3,2.7,1.1,70.4,2.46,83.2,91.8,83.4,27.4,17.9,64049.0,10.1,1.9,5.8
